What is the size of your SME/How many employees are there in your SME/firm? ,"In which sector/industry, does your SME belong? ",What is the geographical location (Country/city) of your SME/firm? ,Since how many years your SME/firm is in action?,What is your current designation?,What is your age?,What is your academic qualification?,Since how long have you been using Cloud computing technology?,Do you think or perceive that CC is a useful technology and it is easy to use?,Elaborate your response,What individual factors of employees and managers have influenced the adoption of CC in your SME?,What problems were you and your company facing before the adoption of Cloud computing? ,What internal factors/motivations led your firm to adopt this technology? ,"Do you think Cloud computing technology is an innovative technology, that has transformed the Firm/SME ‘s IT functions and given a relative advantage (CC seems better/superior than your old technology or mechanism of working)?",Can you share your experience of using/adopting cloud computing (CC) technology in your firm? ,What benefits has your company experienced/explored by using this technology?,What major risks and challenges your company faced in the adoption of cloud computing (CC) technology?,What was your company status when CC services were adopted?,Please elaborate your response:,"Did your firm have adequate technical support, technological competence, and expertise to adopt CC (technological readiness of the firm)?",Did your firm/SME provide adequate staff training from cloud service providers/trainers to adopt CC at all levels of the firm?,"Organizational Context 
Do you think the size of the firm has any impact on its innovativeness and adoption of new technology?",How many members are there in the firm’s top management and were they willing to adopt this change or adoption of CC?,Did senior management take an active role in adopting and implementing this technology?,Did senior management provide all necessary resources and facilities to adopt and implement this technology and were they concerned about the whole process?,Did your company encounter any external pressure to adopt CC technology?, What external factors forced your SME/firm to adopt CC technology?,Do you think Server-provider support (SPS) can affect firms’ adoption of CC?,"Did your firm’s Server-provider support (SPS) changed/influenced the decision adoption of CC in your firm? if yes, how?",Kindly elaborate,"Cloud Models Being used/adopted 
Which cloud solution does your SME use?",Which layer of cloud or service model is used by your SME?,"Do you prefer having a private cloud model or would you prefer an externally managed cloud service or outsourcing the IT service, and why?",Did your firm outsource any of its supporting IT services/Applications or other supporting business processes to a Cloud Computing service provider to enhance efficiency and reduce cost? Name the function.,"Do you think the operational efficiency, productivity, and data security of your SME has increased/improved by adopting CC technology?","Will you suggest other SMEs to use CC to enhance data security, and overall efficiency and productivity of SMEs.","What are the key applications and features of CC have you and your company explored and what made this technology superior and unique, compared to other existing technologies? "
Above 200,Health care and pharmacy,Nairobi,More than 20 years,IT Support Engineer,30 to 40 years,Master’s Degree,9 to 15 years,Agree,,Perceived usefulness of the technology,,Cost-effectiveness;Relative advantage;Innovative compatibility;Improved reliability;Faster Deployment;Improved Efficiency,Strongly agrees,EASE OF USE,Cost Savings;Quality Control and reduced errors;Disaster Recovery;Loss Prevention,Security issues and data privacy concerns;Lack of Control or governance;Data Loss/Integrity Issues;Regulatory issues,Few of the company employees/managers or the CEO knew about the technology,,Agree,Agree,Agree,,Neutral,Agree,Strongly agrees,Competitor and competitive pressure;Government regulations;Industry usage of CC;Trading partner and supplier pressure,Strongly agrees,Disagree,,Hybrid cloud (some features of public and some applications are internally managed),Platforms as a Service (PaaS),"EXTERNAL, FOR EASE OF SUPPORT AND SECURITY",IT;AD,Agree,Strongly agrees,
25 to 50,NGO,MERU COUNTY,More than 20 years,IT Support Engineer,20 to 30 years,Bachelor’s degree,4 to 8 years,Strongly agrees,CLOUD COMPUTING enables the organization have a smooth running of technical operation enabling minimum service down time.,Willingness to use technology to earn efficiency and enhanced performance,Disruption of power disabled access.,Cost-effectiveness;Relative advantage;Innovative compatibility;Time-saving feature;Flexibility;Improved reliability;Improved security;Enhanced Connectivity & Accessibility;Reduced Risk of Data Loss;Faster Deployment;Improved Efficiency;Increased Collaboration,Strongly agrees,enabled the automation of manual database backup.,Cost Savings;Security;Agility;Flexibility and Mobility;Increased information and Insights;Increased Collaboration;Quality Control and reduced errors;Disaster Recovery;Loss Prevention;Automation and upgradation;Competitive Edge in market;Sustainability and efficiency,Cost Overruns and cost management issues;Unclear returns (ROI),Your company was unaware but willing to learn and adopt new technology,I had to introduce and educate my members on the importance of CC.,Strongly agree,Strongly agree,Agree,5,Agree,Agree,Neutral,Competitor and competitive pressure;Industry usage of CC;Technological infrastructure,Agree,Neutral,it assisted making work easy,Private cloud (owned and managed internally),Software as a Service (SaaS),private as its easy to manage,CRM/Sales Management,Agree,Strongly agrees,Service Automation
Above 200,Manufacturing sector,uganda\ kakira,More than 20 years,IT Support Engineer,30 to 40 years,Bachelor’s degree,1 to 3 years,Disagree,training is needed for new users ,Willingness to adopt innovative technology,using end of life or obsolete hardware,Relative advantage;Improved reliability;Enhanced Connectivity & Accessibility;Faster Deployment;Improved Efficiency,Agree,system availability has improved,Cost Savings;Flexibility and Mobility;Disaster Recovery;Sustainability and efficiency,Security issues and data privacy concerns;Compliance Issues;High dependence on network;Regulatory issues,Few of the company employees/managers or the CEO knew about the technology,people are still naive and not prone to change and innovation,Neutral,Neutral,Disagree,few,Disagree,Disagree,Strongly disagrees,Competitor and competitive pressure;lack of hardware maintenance of underlying infrastructure,Strongly agrees,Agree,having someone to resolve your problems helped,Partner cloud (owned and managed by a trusted partner/supplier),Software as a Service (SaaS),outsourcing is more cost effective thus preferable,email,Strongly agrees,Strongly agrees,so far only email on the cloud. prior it was on premise
100 to 200,Automobile sector,canada,12 to 20 years,sales and marketing officer,30 to 40 years,College pass-out,1 to 3 years,Agree,through training you can learn quickly to use the technology,Willingness to adopt innovative technology,lack of proper CRM and inventory software,Flexibility;Improved reliability;Improved Efficiency;Increased Collaboration,Strongly agrees,ITS EASIER TO MANAGE CLIENTS AND GET PROPER RECORDS,Agility;Flexibility and Mobility;Increased Collaboration;Quality Control and reduced errors,Lack of Control or governance;Data Loss/Integrity Issues;Unclear returns (ROI),Your company was unaware but willing to learn and adopt new technology,THE WORLD IS DYNAMIC AND TECHNOLOGY IS UBIQUITOUS THUS ADAPT OR DIE,Agree,Strongly agree,Disagree,ALL,Agree,Strongly agrees,Neutral,Competitor and competitive pressure;Industry usage of CC,Strongly agrees,Strongly disagrees,,Partner cloud (owned and managed by a trusted partner/supplier),Software as a Service (SaaS),OUTSOURCING IS MORE AFFORDABLE,Procurements;CRM/Sales Management,Agree,Strongly agrees,UBIQUITOUS AND RELIABLE
Jan-25,Health care and pharmacy,kisumu,4 to 8 years,IT Specialist/consultant,20 to 30 years,College pass-out,1 to 3 years,Strongly agrees,saves cost of buying of equipment,Willingness to adopt innovative technology,inadequate frastructur,Cost-effectiveness;Relative advantage;Flexibility;Reduced Risk of Data Loss;Improved Efficiency,Agree,Cloud computing is reliable and cost effective,Cost Savings;Security;Flexibility and Mobility;Disaster Recovery,Security issues and data privacy concerns;Vendor Reliability concerns;Lack of Control or governance;Unclear returns (ROI),Few of the company employees/managers or the CEO knew about the technology;Your company was unaware but willing to learn and adopt new technology,few knew about cc so they hard to learn and adopt,Neutral,Agree,Agree,around 30,Agree,Agree,Agree,Technological infrastructure;Trading partner and supplier pressure,Strongly agrees,Strongly agrees,"yes, they offered support ",Private cloud (owned and managed internally),Software as a Service (SaaS),reliable and fast,Payroll;IT,Agree,Agree,work in idea
Above 200,Education,Nigeria,9 to 12 years,IT Support Engineer,20 to 30 years,Bachelor’s degree,1 to 3 years,Agree,its not difficult for a novice user to navigate the interface,Perceived usefulness of the technology;Perceived understanding and ease of using this technology,bugs and errors when using the legacy system,Relative advantage;Time-saving feature;Enhanced Connectivity & Accessibility;Faster Deployment;Increased Collaboration,Strongly agrees,no errors compared to legacy systems,Flexibility and Mobility;Increased Collaboration;Automation and upgradation;Sustainability and efficiency,Compliance Issues;High dependence on network;Regulatory issues,Few of the company employees/managers or the CEO knew about the technology,few people are interested in the tech world,Agree,Agree,Strongly disagrees,5,Neutral,Agree,Disagree,inefficient legacy systems,Strongly agrees,Neutral,sps was not a factor when when adopting cc,Hybrid cloud (some features of public and some applications are internally managed),Software as a Service (SaaS),private cloud is more secure but expensive,Payroll;Human Resources;Procurements;Accounting and Finance,Strongly agrees,Strongly agrees,"modules for payroll,HR and procurement"
Jan-25,Health care and pharmacy,Bujumbura,1-3 years,director/manager ,30 to 40 years,College pass-out,1 to 3 years,Strongly disagrees,it is a very new idea to me and my organization,Perceived usefulness of the technology;Perceived understanding and ease of using this technology,power blackout so computer crashes with all data,Relative advantage;Improved reliability;Improved security;Reduced Risk of Data Loss,Neutral,the data is available even if power goes and computer stolen,Disaster Recovery;data loss prevention,Vendor Reliability concerns;Cost Overruns and cost management issues,Few of the company employees/managers or the CEO knew about the technology,nobody knows what is cloud computing in this area i am living and working,Strongly Disagree,Disagree,Strongly disagrees,i am the only top management since its my clinic,Strongly agrees,Strongly agrees,Neutral,frequent power loss and computer theft ,Agree,Neutral,,Partner cloud (owned and managed by a trusted partner/supplier),Infrastructures as a Service (IaaS),an externally managed cloud service or outsourcing the IT service  because less management is needed,Procurements;CRM/Sales Management;Accounting and Finance,Strongly agrees,Strongly agrees,
Above 200,Public sector,zanzibar,4 to 8 years,IT Support Engineer,20 to 30 years,Bachelor’s degree,1 to 3 years,Agree,if you put effort then its easy to understand,Willingness to use technology to earn efficiency and enhanced performance;Perceived usefulness of the technology,using obsolete hardware thus frequent downtimes,Time-saving feature;Improved reliability;Improved Efficiency,Strongly agrees,high availability of server resources,Disaster Recovery;Loss Prevention;Sustainability and efficiency,Regulatory issues,Few of the company employees/managers or the CEO knew about the technology,people are used to on premise data centers,Neutral,Neutral,Strongly disagrees,most of them ,Neutral,Agree,Strongly agrees,Technological infrastructure;obsolete hardware with no spare parts,Neutral,Disagree,,Hybrid cloud (some features of public and some applications are internally managed),Infrastructures as a Service (IaaS),doesnt matter,Procurements;Accounting and Finance;Application development on the cloud,Agree,Agree,efficient hardware
Jan-25,Textile sector,naitiri,1-3 years,CEO,Above 50,Secondary education or certification,1 to 3 years,Strongly disagrees,i dont have computer skils and its very hard for me,Willingness to use technology to earn efficiency and enhanced performance;Perceived usefulness of the technology,manual hard copy filling,Enhanced Connectivity & Accessibility;Improved Efficiency,Strongly agrees,i can keep records easily online,Quality Control and reduced errors;Sustainability and efficiency,Lack of Control or governance;Unclear returns (ROI);its hard to keep track of records when its hard copy,Your company was unaware but willing to learn and adopt new technology,i as the manager didn't know anything,Strongly agree,Strongly agree,Strongly agrees,only me because am alone,Strongly agrees,Strongly agrees,Strongly agrees,Technological infrastructure,Strongly agrees,Strongly agrees,he convinced me of cost savings and reliability,Hybrid cloud (some features of public and some applications are internally managed),Software as a Service (SaaS), private cloud model is better,Procurements;CRM/Sales Management;Accounting and Finance,Strongly agrees,Strongly agrees,
51 to 100,Technology,,4 to 8 years,IT Specialist/consultant,Above 50,Master’s Degree,9 to 15 years,Disagree,alot of training is needed for people lacking computer skills otherwise its not hard for computer literate staff,Willingness to use technology to earn efficiency and enhanced performance;Perceived usefulness of the technology;Perceived understanding and ease of using this technology,expensive to maintain ict infrastructure,Cost-effectiveness;Innovative compatibility;Faster Deployment;Improved Efficiency,Strongly agrees,very fast deployment time,Agility;Automation and upgradation;Competitive Edge in market;Sustainability and efficiency,Scalability Challenges;Cost Overruns and cost management issues,Most of the employees of the company knew about this technology,a technology company was aware of CC,Strongly agree,Neutral,Agree,,Strongly agrees,Neutral,Strongly disagrees,Technological infrastructure,Strongly agrees,Strongly agrees,If support was inadequate then we would have sought alternative ways,Hybrid cloud (some features of public and some applications are internally managed),Platforms as a Service (PaaS);Infrastructures as a Service (IaaS),either is okay but private is very expensive,IT;Project management;inventory,Agree,Agree,
